year,average_count
1910,1.0
1920,1.0
1925,1.0
1929,1.0
1931,1.0
1934,1.0
1936,1.0
1937,1.0
1939,1.0
1941,1.0
1942,1.0
1943,1.0
1944,1.5
1945,1.1666666666666667
1946,1.1666666666666667
1947,1.631578947368421
1948,1.3333333333333333
1949,1.3333333333333333
1950,1.2352941176470589
1951,1.1818181818181819
1952,2.235294117647059
1953,1.3333333333333333
1954,1.95
1955,1.411764705882353
1956,1.75
1957,2.44
1958,1.64
1959,1.8695652173913044
1960,1.8148148148148149
1961,2.0
1962,2.2
1963,2.129032258064516
1964,2.2285714285714286
1965,4.368421052631579
1966,4.368421052631579
1967,3.775
1968,3.9545454545454546
1969,3.15
1970,3.3333333333333335
1971,2.764705882352941
1972,3.0
1973,4.333333333333333
1974,5.093023255813954
1975,5.72093023255814
1976,4.782608695652174
1977,4.790697674418604
1978,6.2439024390243905
1979,4.571428571428571
1980,4.857142857142857
1981,3.3333333333333335
1982,3.380952380952381
1983,3.024390243902439
1984,3.5121951219512195
1985,4.35
1986,3.8205128205128207
1987,4.261904761904762
1988,4.725
1989,4.4772727272727275
1990,4.7560975609756095
1991,4.380952380952381
1992,4.181818181818182
1993,5.177777777777778
1994,7.0
1995,8.791666666666666
1996,9.673913043478262
1997,19.54901960784314
1998,28.098039215686274
1999,44.35294117647059
2000,44.05882352941177
2001,49.80392156862745
2002,49.0
2003,61.14
2004,65.2156862745098
2005,65.84
2006,59.26
2007,71.7
2008,82.06
2009,74.94
2010,71.50980392156863
2011,88.05882352941177
2012,127.09803921568627
2013,124.4
2014,41.3469387755102
